threshold,recall,precision,F1,false positives,false negatives
0.05,0.9898,0.3736,0.5424,327,2
0.06,0.9848,0.388,0.5567,306,3
0.07,0.9848,0.405,0.574,285,3
0.08,0.9848,0.4199,0.5888,268,3
0.09,0.9848,0.4409,0.6091,246,3
0.1,0.9797,0.4499,0.6166,236,4
0.11,0.9746,0.4561,0.6214,229,5
0.12,0.9746,0.4604,0.6254,225,5
0.13,0.9746,0.4672,0.6316,219,5
0.14,0.9746,0.4752,0.6389,212,5
0.15,0.9695,0.4799,0.642,207,6
0.16,0.9594,0.4859,0.6451,200,8
0.17,0.9442,0.4908,0.6458,193,11
0.18,0.9391,0.5,0.6526,185,12
0.19,0.9239,0.5056,0.6535,178,15
0.2,0.9086,0.5085,0.6521,173,18
0.21,0.9036,0.5205,0.6605,164,19
0.22,0.8782,0.5227,0.6553,158,24
0.23,0.8731,0.526,0.6565,155,25
0.24,0.8731,0.5375,0.6654,148,25
0.25,0.8477,0.537,0.6575,144,30
0.26,0.8426,0.5443,0.6614,139,31
0.27,0.8376,0.5537,0.6667,133,32
0.28,0.8376,0.5651,0.6748,127,32
0.29,0.8325,0.5714,0.6777,123,33
0.3,0.8223,0.5827,0.6821,116,35
0.31,0.8223,0.5956,0.6908,110,35
0.32,0.802,0.61,0.693,101,39
0.33,0.797,0.6181,0.6962,97,40
0.34,0.7868,0.625,0.6966,93,42
0.35,0.7817,0.6337,0.7,89,43
0.36,0.7665,0.6481,0.7023,82,46
0.37,0.7614,0.6637,0.7092,76,47
0.38,0.7614,0.6726,0.7143,73,47
0.39,0.7411,0.6822,0.7105,68,51
0.4,0.736,0.7039,0.7196,61,52
0.41,0.7259,0.7079,0.7168,59,54
0.42,0.7259,0.7186,0.7222,56,54
0.43,0.7208,0.7358,0.7282,51,55
0.44,0.7208,0.7396,0.7301,50,55
0.45,0.7107,0.7407,0.7254,49,57
0.46,0.7005,0.7459,0.7225,47,59
0.47,0.6853,0.7584,0.72,43,62
0.48,0.6599,0.7602,0.7065,41,67
0.49,0.6294,0.7654,0.6908,38,73
0.5,0.6142,0.7707,0.6836,36,76
0.51,0.5838,0.7667,0.6628,35,82
0.52,0.5736,0.774,0.6589,33,84
0.53,0.5635,0.7872,0.6568,30,86
0.54,0.5482,0.7883,0.6467,29,89
0.55,0.5228,0.7923,0.63,27,94
0.56,0.5178,0.7969,0.6277,26,95
0.57,0.5076,0.8197,0.627,22,97
0.58,0.4822,0.812,0.6051,22,102
0.59,0.467,0.807,0.5916,22,105
0.6,0.4619,0.8125,0.589,21,106
0.61,0.4315,0.8173,0.5648,19,112
0.62,0.4061,0.8163,0.5424,18,117
0.63,0.3858,0.8085,0.5223,18,121
0.64,0.3706,0.8202,0.5105,16,124
0.65,0.3604,0.8353,0.5035,14,126
0.66,0.335,0.8354,0.4783,13,131
0.67,0.3147,0.8378,0.4576,12,135
0.68,0.2995,0.8551,0.4436,10,138
0.69,0.2843,0.8615,0.4275,9,141
0.7,0.2741,0.8571,0.4154,9,143
0.71,0.269,0.8548,0.4093,9,144
0.72,0.2538,0.8475,0.3906,9,147
0.73,0.2183,0.8431,0.3468,8,154
0.74,0.198,0.8478,0.321,7,158
0.75,0.1777,0.8333,0.2929,7,162
0.76,0.1574,0.8378,0.265,6,166
0.77,0.1421,0.875,0.2445,4,169
0.78,0.1168,0.8846,0.2063,3,174
0.79,0.1117,0.9167,0.1991,2,175
0.8,0.1066,0.913,0.1909,2,176
0.81,0.0812,0.8889,0.1488,2,181
0.82,0.0711,0.875,0.1315,2,183
0.83,0.0508,0.9091,0.0962,1,187
0.84,0.0355,0.875,0.0683,1,190
0.85,0.0254,0.8333,0.0493,1,192
